Fruit.id,Fruit.batch,Day,Date,Ripeness.stage,Weight,Sugar.content,Primate.red-green.contrast,Primate.blue-yellow.contrast,Primate.luminance,Passerine.red-green.contrast,Passerine.blue-yellow.contrast,Passerine.luminance,Instant.modulus.test,Shannon.index
M086,U10,Day15,2021-08-12,4,385,19.66666667,0.550045,0.09988111,0.40636746,0.663961806,0.150801295,52.40027019,0.15979,0.230665214
M082,U10,Day16,2021-08-13,4,342,18.13333333,0.5350322,0.15507146,0.29998498,0.62281873,0.198909328,35.78122623,0.18079,1.452279758
M092,U11,Day01,2021-07-29,1,414,13.53333333,0.5097197,0.21468643,0.34233833,0.530338008,0.299352997,37.42209452,NA,0.175051178
M097,U11,Day04,2021-08-01,1,400,21.8,0.536668397,0.181204254,NA,0.619910074,0.20985176,87.70765574,0.26186,0
M096,U11,Day05,2021-08-02,2,461,19.33333333,0.5505925,0.24757735,0.35452044,0.672991441,0.228274429,47.36013765,0.34487,1.312143336
M091,U11,Day07,2021-08-04,2,428,21.86666667,0.5266463,0.11552282,0.47729994,0.745591923,0.527397932,42.95827739,0.23792,1.003738356
M094,U11,Day09,2021-08-06,3,487,20.06666667,0.5351834,0.09221801,0.52716139,0.783247367,0.492444593,48.78402169,0.21426,0.955024898
M099,U11,Day10,2021-08-07,3,410,16.93333333,0.5474953,0.12912244,0.53620936,0.656363364,0.168864304,67.09580071,0.25725,0.886928559
M098,U11,Day11,2021-08-08,3,476,18.13333333,0.5433783,0.12694429,0.5224305,0.528282659,0.429818826,32.70015546,0.14578,0.613411694
M093,U11,Day12,2021-08-09,3,372,20.3,0.5380885,0.1819481,0.28767336,0.63473611,0.211586588,35.58459158,0.33055,1.678688987
M095,U11,Day14,2021-08-11,4,455,16.26666667,0.5374168,0.14634324,0.32097823,0.629356656,0.191765789,38.76155297,0.19339,1.461794804
M101,U12,Day01,2021-07-29,1,578,16.5,0.536338,0.26903298,0.36221307,0.630953804,0.268016107,45.35661536,1.13524,0.053159134
M105,U12,Day02,2021-07-30,1,394,17.33333333,0.5406334,0.18356724,0.54721186,0.637455913,0.210999185,67.03524144,0.51439,0
M102,U12,Day03,2021-07-31,1,492,16.56666667,0.5207883,0.22431116,0.37840398,0.573678958,0.278397986,43.5925362,0.95956,0.834655299
M100,U12,Day06,2021-08-03,2,418,18.96666667,0.5396673,0.11506526,0.57165625,0.630085826,0.173836846,68.44729908,0.09214,0
M108,U12,Day09,2021-08-06,3,399,16.26666667,0.5424845,0.07909682,0.54337022,0.637591827,0.149562723,65.96160018,0.1934,0.569215428
M103,U12,Day10,2021-08-07,3,453,16.83333333,0.554369,0.17900398,0.38736997,0.529373032,0.438206839,29.81790582,0.15698,0.951600437
